"MacroTrends Data Download"
"CTRM - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2019-02-11,71.0000,71.0000,50.5000,50.5000,80
2019-02-12,50.5000,50.5000,50.5000,50.5000,0
2019-02-13,51.0000,51.0000,50.9990,50.9990,47
2019-02-14,52.0000,52.0000,52.0000,52.0000,20
2019-02-15,52.0000,52.0000,52.0000,52.0000,12
2019-02-19,52.0000,52.0000,52.0000,52.0000,11
2019-02-20,52.0000,52.0000,52.0000,52.0000,19
2019-02-21,52.0000,52.0000,52.0000,52.0000,12
2019-02-22,52.0000,52.0000,52.0000,52.0000,10
2019-02-25,52.3000,52.3000,52.3000,52.3000,12
2019-02-26,51.8000,51.8000,51.8000,51.8000,12
2019-02-27,51.0000,51.0000,51.0000,51.0000,28
2019-02-28,51.3000,51.3000,51.3000,51.3000,10
2019-03-01,51.2000,51.2000,51.2000,51.2000,10
2019-03-04,52.0000,52.0000,50.5000,50.5000,27
2019-03-05,50.5000,50.5000,50.5000,50.5000,11
2019-03-06,50.5000,50.5000,50.5000,50.5000,11
2019-03-07,50.5000,50.5000,50.5000,50.5000,10
2019-03-08,50.0000,50.0000,50.0000,50.0000,51
2019-03-11,52.0600,189.9890,48.9990,90.0000,2508
2019-03-12,85.0000,89.7490,57.5000,62.5000,3273
2019-03-13,60.0000,61.5000,53.8400,55.5000,1528
2019-03-14,55.0000,55.0000,50.0050,50.2000,330
2019-03-15,51.6560,57.2170,46.0010,50.0000,3107
2019-03-18,50.0000,50.0000,41.2000,45.0000,1758
2019-03-19,42.4000,42.4010,39.9500,40.6050,431
2019-03-20,41.0000,42.0920,41.0000,41.0000,208
2019-03-21,46.4990,54.1420,43.5000,47.5000,3325
2019-03-22,48.0000,49.7720,43.0000,45.9000,1674
2019-03-25,47.4000,54.8000,45.0000,49.0000,8654
2019-03-26,47.9700,105.7000,45.4000,101.5000,236211
2019-03-27,140.5000,184.9990,90.5000,91.1000,536481
2019-03-28,75.5000,86.1300,60.3000,63.4000,56571
